Index,Display_Size,Internal_Storage,Model_Name,Model_Number,Primary_Camera,Processor_Type,RAM,Secondary_Camera,Weight,image_urls
62,5.2 inch,32 GB,Me3S,iV 501,13MP,MediaTek 6737 64-bit 1.3GHz,3 GB,8MP, ,"rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkk5bp4y4b.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkk5bp4y4b.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkqsn8yqrc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkejyame8c.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkzcafgvhh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkaz6qhy2e.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkayadzexx.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkyygn7eg5.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/p/v/c/ivoomi-me3-iv-501-original-imaexhbkygqkztv8.jpeg?q=70
"
63,5.2 inch,32 GB,Honor 8,FRD-L02,12MP + 12MP,ARM Hisilicon Kirin 950 - ARM Cortex A72 + ARM Cortex A53 Octa Core 2.3GHz,4 GB,8MP,153 g,"rukminim1.flixcart.com/image/128/128/mobile/n/h/r/honor-8-frd-l02-original-imaema5yt8yhm3aa.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/n/h/r/huawei-honor-8-frd-l02-original-imaema5yzcmhdqkf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/n/h/r/honor-8-frd-l02-original-imaema5ymrsf2cjb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/n/h/r/honor-8-frd-l02-original-imaema5yzkdgkfx8.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/n/h/r/honor-8-frd-l02-original-imaema5yfkqmg3dj.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/n/h/r/honor-8-frd-l02-original-imaema5yb8chucnx.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/n/h/r/honor-8-frd-l02-original-imaema5yhg5hsmtr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/n/h/r/honor-8-frd-l02-original-imaema5yhffgyzxz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/n/h/r/honor-8-frd-l02-original-imaema5y7z86yat2.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/n/h/r/honor-8-frd-l02-original-imaema5yjdevqgap.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/n/h/r/honor-8-frd-l02-original-imaema5yyghjugzy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/n/h/r/honor-8-frd-l02-original-imaema5y8uhyzu4x.jpeg?q=70
"
64,5.2 inch,32 GB,K8 Plus,PA8C0006IN / PA8C0023IN,13MP + 5MP,MediaTek MTK Helio P25 Octa Core 2.5 GHz,4 GB,8MP, ,"rukminim1.flixcart.com/image/128/128/j81xsi80/mobile/w/g/a/lenovo-k8-plus-pa8c0006in-original-imaey5mh6tw7zm8z.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-original-imaexgyvzbtwfppn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-original-imaexgywy9jjtmtx.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-original-imaexgyws53qsx8g.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-original-imaexgywcywpgfyp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-original-imaexgyw6esqjkqy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j752nww0/mobile/v/p/g/lenovo-k8-plus-pa8c0019in-original-imaexgywqy6yjj9u.jpeg?q=70
"
65,5.2 inch,32 GB,Honor 8,FRD-L02,12MP + 12MP,ARM Hisilicon Kirin 950 - ARM Cortex A72 + ARM Cortex A53 Octa Core 2.3GHz,4 GB,8MP,153 g,"rukminim1.flixcart.com/image/128/128/mobile/d/f/f/honor-8-frd-l02-original-imaema4zqyw5q2mv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/d/f/f/huawei-honor-8-frd-l02-original-imaema4zbkxguxkt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/d/f/f/honor-8-frd-l02-original-imaema4zus6zkthr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/d/f/f/honor-8-frd-l02-original-imaema4znjskpdzp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/d/f/f/honor-8-frd-l02-original-imaema4zgmgay2zw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/d/f/f/honor-8-frd-l02-original-imaema4zn8dyfgas.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/d/f/f/honor-8-frd-l02-original-imaema4zffrtwdxp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/d/f/f/honor-8-frd-l02-original-imaema4zhrhp2zxa.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/d/f/f/honor-8-frd-l02-original-imaema4zbsscuthx.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/d/f/f/honor-8-frd-l02-original-imaema4z4hjvv3rs.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/d/f/f/honor-8-frd-l02-original-imaema4znvuzfz4z.jpeg?q=70
"
66,5.5 inch,16 GB,P55 Max,EB-90S55PMXN,13MP,MediaTek MTK6737 Quad Core 1.25 GHz,3 GB,5MP,180 g,"rukminim1.flixcart.com/image/128/128/j4x207k0/mobile/e/q/g/panasonic-p55-max-eb-90s55pmxn-original-imaevq4beryceusy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4x207k0/mobile/e/q/g/panasonic-p55-max-eb-90s55pmxn-original-imaevq4bzhjacqkj.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4x207k0/mobile/e/q/g/panasonic-p55-max-eb-90s55pmxn-original-imaevq4bhvy2zh48.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4x207k0/mobile/e/q/g/panasonic-p55-max-eb-90s55pmxn-original-imaevq4bkypparfy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4x207k0/mobile/e/q/g/panasonic-p55-max-eb-90s55pmxn-original-imaevq4bpyyqdk7u.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4x207k0/mobile/e/q/g/panasonic-p55-max-eb-90s55pmxn-original-imaevq4bw5k892fr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4x207k0/mobile/e/q/g/panasonic-p55-max-eb-90s55pmxn-original-imaevq4brst5re2e.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4x207k0/mobile/e/q/g/panasonic-p55-max-eb-90s55pmxn-original-imaevq4bbagw999d.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4x207k0/mobile/e/q/g/panasonic-p55-max-eb-90s55pmxn-original-imaevq4bmsamuqk7.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4x207k0/mobile/e/q/g/panasonic-p55-max-eb-90s55pmxn-original-imaevq4bb8grjjyg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4x207k0/mobile/e/q/g/panasonic-p55-max-eb-90s55pmxn-original-imaevq4btfykxwkw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4x207k0/mobile/e/q/g/panasonic-p55-max-eb-90s55pmxn-original-imaevq4bzqdb83xu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4x207k0/mobile/e/q/g/panasonic-p55-max-eb-90s55pmxn-original-imaevq4bxefqfrbv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4x207k0/mobile/e/q/g/panasonic-p55-max-eb-90s55pmxn-original-imaevq4bknn7hwxu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j4x207k0/mobile/e/q/g/panasonic-p55-max-eb-90s55pmxn-original-imaevq4b6hzmzkmv.jpeg?q=70
"
67,5.5 inch,32 GB,Zenfone 4 Selfie,ZB553KL-5G099IN/ZB553KL-5G033IN,13MP,Octa Core Qualcomm Snapdragon 430,3 GB,13MP,144 g,"rukminim1.flixcart.com/image/128/128/j7p2tu80/mobile/u/w/7/asus-zenfone-4-selfie-zb553kl-5g099in-zb553kl-5g033in-original-imaexvtdd4rcyjk5.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7p2tu80/mobile/u/w/7/asus-zenfone-4-selfie-zb553kl-5g099in-zb553kl-5g033in-original-imaexvtefbgggjqf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7p2tu80/mobile/u/w/7/asus-zenfone-4-selfie-zb553kl-5g099in-zb553kl-5g033in-original-imaexvtertymfrnw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7p2tu80/mobile/u/w/7/asus-zenfone-4-selfie-zb553kl-5g099in-zb553kl-5g033in-original-imaexvte9yfaykrz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7p2tu80/mobile/u/w/7/asus-zenfone-4-selfie-zb553kl-5g099in-zb553kl-5g033in-original-imaexvtexq4yudds.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7p2tu80/mobile/u/w/7/asus-zenfone-4-selfie-zb553kl-5g099in-zb553kl-5g033in-original-imaexvtevkx4cugw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7p2tu80/mobile/u/w/7/asus-zenfone-4-selfie-zb553kl-5g099in-zb553kl-5g033in-original-imaexvtet5ghrhfh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7p2tu80/mobile/u/w/7/asus-zenfone-4-selfie-zb553kl-5g099in-zb553kl-5g033in-original-imaexvtefk56j2ye.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7p2tu80/mobile/u/w/7/asus-zenfone-4-selfie-zb553kl-5g099in-zb553kl-5g033in-original-imaexvtegdgafbkd.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7p2tu80/mobile/u/w/7/asus-zenfone-4-selfie-zb553kl-5g099in-zb553kl-5g033in-original-imaexvtdeyrwebhp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7p2tu80/mobile/u/w/7/asus-zenfone-4-selfie-zb553kl-5g099in-zb553kl-5g033in-original-imaexvtdygvk6b2r.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7p2tu80/mobile/u/w/7/asus-zenfone-4-selfie-zb553kl-5g099in-zb553kl-5g033in-original-imaexvtdhwh5xwhs.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7p2tu80/mobile/u/w/7/asus-zenfone-4-selfie-zb553kl-5g099in-zb553kl-5g033in-original-imaexvtekyt3hnvn.jpeg?q=70
"
68,5.2 inch,16 GB,Me3,iV 501,8MP,MediaTek 6737 64-bit 1.3GHz,2 GB,8MP,158 g,"rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkg4ega5hn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkg4ega5hn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkggm3pteh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkwavyhsfd.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkzwausgtm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkuk5vseax.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkaksj4h88.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkksyhqfjp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkjhfr48yt.jpeg?q=70
"
69,5.5 inch,32 GB,Redmi Note 4,MZB5459IN/MZB5542IN,13MP,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz,itional Content3GB RAM,5MP,165 g,"rukminim1.flixcart.com/image/128/128/mobile/f/d/5/mi-redmi-note-4-na-original-imaeqdxqcrfshtqu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/f/d/5/mi-redmi-note-4-na-original-imaeqdxqcrfshtqu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/f/d/5/mi-redmi-note-4-na-original-imaeqdxgtcgbgvfh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/g/t/d/mi-redmi-note-4-na-original-imaeqdxd3mv2zpwt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/g/t/d/mi-redmi-note-4-na-original-imaeqdxgx3z8fhdr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/f/d/5/mi-redmi-note-4-na-original-imaeqdxhqks7qrnw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/g/t/d/mi-redmi-note-4-na-original-imaeqdxhgnerzpeg.jpeg?q=70
"
70,5.5 inch,32 GB,Vibe K5 Note,PA330113IN/PA330117IN,13MP,Mediatek Helio P10 64-bit Octa Core 1.8GHz,4 GB,8MP,165 g,"rukminim1.flixcart.com/image/128/128/mobile/q/3/j/lenovo-k5-note-pa330117in-original-imaekyapfagcmsdg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/j/p/a/lenovo-k5-note-pa330037in-original-imaekyap3yryuynj.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/j/p/a/lenovo-k5-note-pa330037in-original-imaekyapnqehzzkg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/j/p/a/lenovo-k5-note-pa330037in-original-imaekyapgwndjptk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/j/p/a/lenovo-k5-note-pa330037in-original-imaejuewfyhydg5p.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/j/p/a/lenovo-k5-note-pa330037in-original-imaejuew3bf9jyyu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/j/p/a/lenovo-k5-note-pa330037in-original-imaejuewamnr26dc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/j/p/a/lenovo-k5-note-pa330037in-original-imaejuewkm4g3fyg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/j/p/a/lenovo-k5-note-pa330037in-original-imaejuew5wrrbfba.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/j/p/a/lenovo-k5-note-pa330037in-original-imaejuewbphhffbg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/j/p/a/lenovo-vibe-k5-note-pa330037in-original-imaehxk8aep2gbvb.jpeg?q=70
"
71,5.5 inch,64 GB,Moto M,XT1663,16MP,MediaTek Helio P15 64-bit Octa Core 2.2GHz,4 GB,8MP,163 g,"rukminim1.flixcart.com/image/128/128/mobile/p/x/x/motorola-moto-m-xt1663-original-imaep562bebk6hhg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/p/x/x/motorola-moto-m-xt1663-original-imaep563txjstxzp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/t/z/6/motorola-moto-m-xt1663-original-imaep55wjkgfye6h.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/t/z/6/motorola-moto-m-xt1663-original-imaep56fjnjtuf82.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/p/x/x/motorola-moto-m-xt1663-original-imaep563vcf8phs9.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/p/x/x/motorola-moto-m-xt1663-original-imaep565kfsfbsrz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/t/z/6/motorola-moto-m-xt1663-original-imaep55xnzgqz7tf.jpeg?q=70
"
72,5.2 inch,32 GB,Me3S,iV 501,13MP,MediaTek 6737 64-bit 1.3GHz,3 GB,8MP, ,"rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkg4ega5hn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkg4ega5hn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkggm3pteh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkwavyhsfd.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkzwausgtm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkuk5vseax.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkaksj4h88.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkksyhqfjp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/mobile/g/h/x/ivoomi-me3-iv-501-original-imaexhbkjhfr48yt.jpeg?q=70
"
73,4.7 inch,128 GB,iPhone 7,MN922HN/A,12MP,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor, ,7MP,138 g,"rukminim1.flixcart.com/image/128/128/mobile/7/e/e/apple-iphone-7-na-original-imaemzee435f9gpu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/7/e/e/apple-iphone-7-na-original-imaemzee6nzyvupn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/7/e/e/apple-iphone-7-na-original-imaemzedzsgdfgut.jpeg?q=70
"
74,5.5 inch,64 GB,Zenfone 4 Selfie Dual Camera,ZD553KL-5G096IN/ZD553KL-5G037IN/ZD553KL-5G037INASUS_X00LD,16MP,Octa Core Qualcomm Snapdragon 430,4 GB,20MP + 8MP,144 g,"rukminim1.flixcart.com/image/128/128/j6wi0sw0/mobile/n/a/m/asus-zenfone-4-selfie-zd553kl-5g037in-original-imaex9fgd9ttkdqw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6wi0sw0/mobile/u/w/7/asus-zenfone-4-selfie-zd553kl-5g037in-original-imaex9fghf797dxf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6wi0sw0/mobile/n/a/m/asus-zenfone-4-selfie-zd553kl-5g037in-original-imaex9fgfkkghpqg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6wi0sw0/mobile/u/w/7/asus-zenfone-4-selfie-zd553kl-5g037in-original-imaex9fgfhzbakyz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6wi0sw0/mobile/n/a/m/asus-zenfone-4-selfie-zd553kl-5g037in-original-imaex9fhwsbencty.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6wi0sw0/mobile/n/a/m/asus-zenfone-4-selfie-zd553kl-5g037in-original-imaex9fhv5w27hp9.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6wi0sw0/mobile/n/a/m/asus-zenfone-4-selfie-zd553kl-5g037in-original-imaex9fgg6qy4vtg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6wi0sw0/mobile/n/a/m/asus-zenfone-4-selfie-zd553kl-5g037in-original-imaex9fgxh3m7frz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6wi0sw0/mobile/u/w/7/asus-zenfone-4-selfie-zd553kl-5g037in-original-imaex9fgvehwwgsg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6wi0sw0/mobile/u/w/7/asus-zenfone-4-selfie-zd553kl-5g037in-original-imaex9fgzmqk6yr3.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6wi0sw0/mobile/u/w/7/asus-zenfone-4-selfie-zd553kl-5g037in-original-imaex9fghvhqwt5m.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6wi0sw0/mobile/u/w/7/asus-zenfone-4-selfie-zd553kl-5g037in-original-imaex9fgc2vp3zhg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6wi0sw0/mobile/u/w/7/asus-zenfone-4-selfie-zd553kl-5g037in-original-imaex9fgdmck7ykj.jpeg?q=70
"
75,5 inch,16 GB,P77,EB-90S50P77H,8MP,MediaTek MTK6735P Quad Core 1 GHz,1 GB,2MP,126 g,"rukminim1.flixcart.com/image/128/128/j6v2ky80/mobile/z/9/r/panasonic-p77-eb-90s50p77h-original-imaex8c7d7jw8wje.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6v2ky80/mobile/z/9/r/panasonic-p77-eb-90s50p77h-original-imaex8ceucuqshyq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6v2ky80/mobile/z/9/r/panasonic-p77-eb-90s50p77h-original-imaex8c7spkquzn2.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6v2ky80/mobile/z/9/r/panasonic-p77-eb-90s50p77h-original-imaex8c7mugfzfqp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6v2ky80/mobile/z/9/r/panasonic-p77-eb-90s50p77h-original-imaex8c8vzkruhve.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6v2ky80/mobile/z/9/r/panasonic-p77-eb-90s50p77h-original-imaex8c8khzcw856.jpeg?q=70
"
76,5.5 inch,8 GB,Aqua 5.5 VR, ,5MP,Mediatek MT6737V /W 64-bit Quad Core 1.3GHz,1 GB,5MP,176.8 g,"rukminim1.flixcart.com/image/128/128/mobile/q/g/y/intex-aqua-5-5-vr-original-imaenjf87dhe3ush.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/g/y/intex-aqua-5-5-vr-original-imaenjfkvg8gnjdx.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/g/y/intex-aqua-5-5-vr-original-imaenjfh2ezy6nqw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/g/y/intex-aqua-5-5-vr-original-imaenjfh6qvukpyh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/g/y/intex-aqua-5-5-vr-original-imaenjfkff2vvzeh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/g/y/intex-aqua-5-5-vr-original-imaenjfnspb8jyyg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/g/y/intex-aqua-5-5-vr-original-imaenjfhzrgzdnpu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/g/y/intex-aqua-5-5-vr-original-imaenjfcx5dc8xv8.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/q/g/y/intex-aqua-5-5-vr-original-imaenjfksmzkkmpg.jpeg?q=70
"
77,5.5 inch,64 GB,V5 Plus, ,16MP,Qualcomm Snapdragon 625 64-bit Octa Core 2 GHz,4 GB,20MP + 8MP, ,"rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/p/y/q/vivo-v5-plus-na-original-imaev4vrqzcysgfb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/mobile/p/y/q/vivo-v5-plus-na-original-imaeqvhb7fda2mze.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/p/y/q/vivo-v5-plus-na-original-imaev4vrgnfzzgnw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/p/y/q/vivo-v5-plus-na-original-imaev4vraq9gafpw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/p/y/q/vivo-v5-plus-na-original-imaev4vrgjkk2tb4.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/p/y/q/vivo-v5-plus-na-original-imaev4vrbz7cb9t9.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/p/y/q/vivo-v5-plus-na-original-imaev4vrqgzbgr9w.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/p/y/q/vivo-v5-plus-na-original-imaev4vrrqzptsgz.jpeg?q=70
"
78,5.7 inch,32 GB,J7 Max,SM-G615FZDDINS,13MP,Mediatek�Octa-Core 1.69GHz,4 GB,13MP,179 g,"rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bz4kda4re.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bz4kda4re.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6dxaq80/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaewuzhwydsfkw2.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bf8zq9b6x.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bj9vz8dzt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bafzntezb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bjxmhbwhj.jpeg?q=70
"
79,4.5 inch,8 GB,Horizon 1,S455120,5MP,Spreadtrum SC9832 Quad Core 1.3GHz,1 GB,3.2MP,126.1 g,"rukminim1.flixcart.com/image/128/128/j0sg7m80/mobile/q/b/f/sansui-horizon-1-na-original-imaesgj7ezjqwtjr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j0sg7m80/mobile/q/b/f/sansui-horizon-1-na-original-imaesgj7ezjqwtjr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j0sg7m80/mobile/q/b/f/sansui-horizon-1-na-original-imaesgj7zapxzynv.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j0sg7m80/mobile/q/b/f/sansui-horizon-1-na-original-imaesgj7embwbtuy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j0sg7m80/mobile/q/b/f/sansui-horizon-1-na-original-imaesgj7hjg8ckgu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j0sg7m80/mobile/q/b/f/sansui-horizon-1-na-original-imaesgj7ymj9hhr3.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j0sg7m80/mobile/q/b/f/sansui-horizon-1-na-original-imaesgj7cxyk7cwt.jpeg?q=70
"
